Type,Md1,Md2,Md3,Md4,Mc1,Mc2,Mc3,Md5,Md6,Mc4,Mc5
A100-3-197,1,1,0,1,1,1,0,1,1,1,1
A100-3-198,1,1,0,1,1,1,1,1,1,0,0
A100-3-199,1,1,0,1,1,1,1,1,1,0,1
A100-3-2,1,1,1,1,1,1,0,1,1,0,0
A100-3-20,1,1,0,1,1,1,1,1,1,1,1
A100-3-200,1,1,1,1,1,1,0,1,1,1,1
A100-3-201,1,1,0,1,1,1,0,1,1,1,0
A100-3-202,1,1,0,1,1,1,1,1,1,1,1
A100-3-203,1,1,1,1,1,1,1,1,1,0,1
A100-3-204,1,1,0,1,1,1,0,1,1,1,1
A100-3-205,1,1,1,1,1,1,1,1,1,0,0
A100-3-206,1,1,1,1,1,1,0,1,1,0,0
A100-3-207,1,1,0,1,1,1,0,1,1,1,1
A100-3-208,1,1,0,1,1,1,1,1,1,1,1
A100-3-209,1,1,1,1,1,1,1,1,1,1,0
A100-3-21,1,1,0,1,1,1,0,1,1,1,0
A100-3-210,1,1,0,1,1,1,0,1,1,0,1
A100-3-211,1,1,1,1,1,1,1,1,1,0,0
A100-3-212,1,1,1,1,1,1,1,1,1,1,1
A100-3-213,1,1,1,1,1,1,0,1,1,1,1
A100-3-214,1,1,1,1,1,1,1,1,1,0,0
A100-3-215,1,1,0,1,1,1,0,1,1,0,1
A100-3-216,1,1,1,1,1,1,1,1,1,0,0
A100-3-217,1,1,1,1,1,1,0,1,1,1,0
A100-3-218,1,1,1,1,1,1,1,1,1,0,0
A100-3-219,1,1,1,1,1,1,0,1,1,0,1
A100-3-22,1,1,1,1,1,1,1,1,1,0,0
A100-3-220,1,1,1,1,1,1,0,1,1,0,1
A100-3-221,1,1,0,1,1,1,0,1,1,1,1
A100-3-222,1,1,0,1,1,1,0,1,1,0,0
A100-3-223,1,1,1,1,1,1,1,1,1,1,0
A100-3-224,1,1,0,1,1,1,1,1,1,0,1
A100-3-225,1,1,0,1,1,1,1,1,1,1,1
A100-3-226,1,1,0,1,1,1,1,1,1,0,1
A100-3-227,1,1,1,1,1,1,0,1,1,1,0
A100-3-228,1,1,0,1,1,1,0,1,1,0,1
A100-3-229,1,1,0,1,1,1,0,1,1,1,0
A100-3-23,1,1,0,1,1,1,0,1,1,0,1
A100-3-230,1,1,1,1,1,1,0,1,1,0,1
A100-3-231,1,1,1,1,1,1,0,1,1,1,1
A100-3-232,1,1,1,1,1,1,0,1,1,0,1
A100-3-233,1,1,1,1,1,1,1,1,1,0,1
A100-3-234,1,1,1,1,1,1,1,1,1,1,1
A100-3-235,1,1,0,1,1,1,0,1,1,1,1
A100-3-236,1,1,0,1,1,1,0,1,1,1,0
A100-3-237,1,1,1,1,1,1,0,1,1,1,0
A100-3-238,1,1,1,1,1,1,0,1,1,1,1
A100-3-239,1,1,1,1,1,1,0,1,1,1,1
A100-3-24,1,1,1,1,1,1,0,1,1,0,1
A100-3-240,1,1,0,1,1,1,1,1,1,1,0
A100-3-241,1,1,0,1,1,1,1,1,1,0,1
A100-3-242,1,1,0,1,1,1,0,1,1,1,1
A100-3-243,1,1,0,1,1,1,1,1,1,0,0
A100-3-244,1,1,1,1,1,1,0,1,1,0,1
A100-3-245,1,1,0,1,1,1,1,1,1,1,1
A100-3-246,1,1,0,1,1,1,0,1,1,0,0
A100-3-247,1,1,0,1,1,1,0,1,1,1,0
A100-3-248,1,1,1,1,1,1,0,1,1,1,1
A100-3-249,1,1,0,1,1,1,1,1,1,1,0
A100-3-25,1,1,0,1,1,1,1,1,1,0,0
A100-3-250,1,1,1,1,1,1,0,1,1,0,1
A100-3-251,1,1,0,1,1,1,1,1,1,1,1
A100-3-252,1,1,0,1,1,1,1,1,1,1,1
A100-3-253,1,1,1,1,1,1,0,1,1,1,1
A100-3-254,1,1,0,1,1,1,0,1,1,1,1
A100-3-255,1,1,0,1,1,1,0,1,1,1,1
A100-3-256,1,1,0,1,1,1,0,1,1,0,0
A100-3-257,1,1,1,1,1,1,1,1,1,0,0
A100-3-258,1,1,0,1,1,1,0,1,1,1,1
A100-3-259,1,1,0,1,1,1,1,1,1,0,0
A100-3-26,1,1,1,1,1,1,1,1,1,1,1
A100-3-260,1,1,0,1,1,1,1,1,1,0,0
A100-3-261,1,1,0,1,1,1,0,1,1,1,1
A100-3-262,1,1,1,1,1,1,0,1,1,0,1
